customerID,gender,tenure,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Churn
7590-VHVEG,Female,1,DSL,Month-to-month,Electronic check,29.85,29.85,False,True,False,False,False,False,True,False,False,False,False,True,False
5575-GNVDE,Male,34,DSL,One year,Mailed check,56.95,1889.5,False,False,False,True,False,True,False,True,False,False,False,False,False
3668-QPYBK,Male,2,DSL,Month-to-month,Mailed check,53.85,108.15,False,False,False,True,False,True,True,False,False,False,False,True,True
7795-CFOCW,Male,45,DSL,One year,Bank transfer (automatic),42.3,1840.75,False,False,False,False,False,True,False,True,True,False,False,False,False
9237-HQITU,Female,2,Fiber optic,Month-to-month,Electronic check,70.7,151.65,False,False,False,True,False,False,False,False,False,False,False,True,True
9305-CDSKC,Female,8,Fiber optic,Month-to-month,Electronic check,99.65,820.5,False,False,False,True,True,False,False,True,False,True,True,True,True
1452-KIOVK,Male,22,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,False,False,True,True,True,False,True,False,False,True,False,True,False
6713-OKOMC,Female,10,DSL,Month-to-month,Mailed check,29.75,301.9,False,False,False,False,False,True,False,False,False,False,False,False,False
7892-POOKP,Female,28,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,False,True,False,True,True,False,False,True,True,True,True,True,True
6388-TABGU,Male,62,DSL,One year,Bank transfer (automatic),56.15,3487.95,False,False,True,True,False,True,True,False,False,False,False,False,False
9763-GRSKD,Male,13,DSL,Month-to-month,Mailed check,49.95,587.45,False,True,True,True,False,True,False,False,False,False,False,True,False
7469-LKBCI,Male,16,No,Two year,Credit card (automatic),18.95,326.8,False,False,False,True,False,False,False,False,False,False,False,False,False
8091-TTVAX,Male,58,Fiber optic,One year,Credit card (automatic),100.35,5681.1,False,True,False,True,True,False,False,True,False,True,True,False,False
0280-XJGEX,Male,49,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,False,False,False,True,True,False,True,True,False,True,True,True,True
5129-JLPIS,Male,25,Fiber optic,Month-to-month,Electronic check,105.5,2686.05,False,False,False,True,False,True,False,True,True,True,True,True,False
3655-SNQYZ,Female,69,Fiber optic,Two year,Credit card (automatic),113.25,7895.15,False,True,True,True,True,True,True,True,True,True,True,False,False
8191-XWSZG,Female,52,No,One year,Mailed check,20.65,1022.95,False,False,False,True,False,False,False,False,False,False,False,False,False
9959-WOFKT,Male,71,Fiber optic,Two year,Bank transfer (automatic),106.7,7382.25,False,False,True,True,True,True,False,True,False,True,True,False,False
4190-MFLUW,Female,10,DSL,Month-to-month,Credit card (automatic),55.2,528.35,False,True,True,True,False,False,False,True,True,False,False,False,True
4183-MYFRB,Female,21,Fiber optic,Month-to-month,Electronic check,90.05,1862.9,False,False,False,True,False,False,True,True,False,False,True,True,False
8779-QRDMV,Male,1,DSL,Month-to-month,Electronic check,39.65,39.65,True,False,False,False,False,False,False,True,False,False,True,True,True
1680-VDCWW,Male,12,No,One year,Bank transfer (automatic),19.8,202.25,False,True,False,True,False,False,False,False,False,False,False,False,False
1066-JKSGK,Male,1,No,Month-to-month,Mailed check,20.15,20.15,False,False,False,True,False,False,False,False,False,False,False,False,True
3638-WEABW,Female,58,DSL,Two year,Credit card (automatic),59.9,3505.1,False,True,False,True,True,False,True,False,True,False,False,True,False
6322-HRPFA,Male,49,DSL,Month-to-month,Credit card (automatic),59.6,2970.3,False,True,True,True,False,True,True,False,True,False,False,False,False
6865-JZNKO,Female,30,DSL,Month-to-month,Bank transfer (automatic),55.3,1530.6,False,False,False,True,False,True,True,False,False,False,False,True,False
6467-CHFZW,Male,47,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,False,True,True,True,True,False,True,False,False,True,True,True,True
8665-UTDHZ,Male,1,DSL,Month-to-month,Electronic check,30.2,30.2,False,True,True,False,False,False,True,False,False,False,False,False,True
5248-YGIJN,Male,72,DSL,Two year,Credit card (automatic),90.25,6369.45,False,True,False,True,True,True,True,True,True,True,True,True,False
8773-HHUOZ,Female,17,DSL,Month-to-month,Mailed check,64.7,1093.1,False,False,True,True,False,False,False,False,False,True,True,True,True
3841-NFECX,Female,71,Fiber optic,Two year,Credit card (automatic),96.35,6766.95,True,True,False,True,True,True,True,True,True,False,False,True,False
4929-XIHVW,Male,2,Fiber optic,Month-to-month,Credit card (automatic),95.5,181.65,True,True,False,True,False,False,False,True,False,True,True,True,False
6827-IEAUQ,Female,27,DSL,One year,Mailed check,66.15,1874.45,False,True,True,True,False,True,True,True,True,False,False,False,False
7310-EGVHZ,Male,1,No,Month-to-month,Bank transfer (automatic),20.2,20.2,False,False,False,True,False,False,False,False,False,False,False,False,False
3413-BMNZE,Male,1,DSL,Month-to-month,Bank transfer (automatic),45.25,45.25,True,False,False,True,False,False,False,False,False,False,False,False,False
6234-RAAPL,Female,72,Fiber optic,Two year,Bank transfer (automatic),99.9,7251.7,False,True,True,True,True,True,True,False,True,True,False,False,False
6047-YHPVI,Male,5,Fiber optic,Month-to-month,Electronic check,69.7,316.9,False,False,False,True,False,False,False,False,False,False,False,True,True
6572-ADKRS,Female,46,Fiber optic,Month-to-month,Credit card (automatic),74.8,3548.3,False,False,False,True,False,False,False,True,False,False,False,True,False
5380-WJKOV,Male,34,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,False,False,False,True,True,False,True,True,False,True,True,True,True
8168-UQWWF,Female,11,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,False,False,False,True,True,False,False,True,False,True,True,True,True
8865-TNMNX,Male,10,DSL,One year,Mailed check,49.55,475.7,False,True,True,True,False,False,True,False,False,False,False,False,False
9489-DEDVP,Female,70,DSL,Two year,Credit card (automatic),69.2,4872.35,False,True,True,True,True,True,True,False,False,True,False,True,False
9867-JCZSP,Female,17,No,One year,Mailed check,20.75,418.25,False,True,True,True,False,False,False,False,False,False,False,False,False
4671-VJLCL,Female,63,DSL,Two year,Credit card (automatic),79.85,4861.45,False,False,False,True,True,True,True,True,True,True,False,True,False
4080-IIARD,Female,13,DSL,Month-to-month,Electronic check,76.2,981.45,False,True,False,True,True,True,True,False,True,True,False,True,False
3714-NTNFO,Female,49,Fiber optic,Month-to-month,Electronic check,84.5,3906.7,False,False,False,True,True,False,False,False,False,False,True,True,False
5948-UJZLF,Male,2,DSL,Month-to-month,Mailed check,49.25,97.0,False,False,False,True,False,False,True,False,False,False,False,False,False
7760-OYPDY,Female,2,Fiber optic,Month-to-month,Electronic check,80.65,144.15,False,False,False,True,False,False,False,False,False,True,False,True,True
7639-LIAYI,Male,52,DSL,Two year,Credit card (automatic),79.75,4217.8,False,False,False,True,True,True,False,False,True,True,True,True,False
2954-PIBKO,Female,69,DSL,Two year,Credit card (automatic),64.15,4254.1,False,True,True,True,True,True,False,True,True,False,False,True,False
